epoch,wall,tr_ac_smooth,tr_ac_spike,te_a0_smooth,te_a1_smooth,te_a2_smooth,te_ac_smooth,te_a0_spike,te_a1_spike,te_a2_spike,te_ac_spike,best_te_ac_spike,rate0,rate1,rate2,om0,om1,om2
0,129.4,0.0931,0.0932,0.0985,0.0880,0.0715,0.0800,0.1345,0.0920,0.0730,0.0830,0.0830,0.0222,0.0507,0.4235,0.6029,0.1563,0.0394
1,521.4,0.5603,0.5608,0.2230,0.5100,0.4350,0.5335,0.2235,0.5060,0.4350,0.5310,0.5310,0.2121,0.4286,0.5869,0.5989,0.1531,0.0411
2,815.4,0.6196,0.6199,0.3405,0.5315,0.5005,0.5600,0.3425,0.5340,0.4995,0.5595,0.5595,0.2606,0.4050,0.4915,0.5953,0.1496,0.0423
3,1107.2,0.6203,0.6201,0.3440,0.5595,0.5800,0.6005,0.3415,0.5585,0.5800,0.6025,0.6025,0.3035,0.4148,0.4517,0.5940,0.1468,0.0430
4,1403.3,0.6444,0.6447,0.3515,0.5815,0.5770,0.6150,0.3520,0.5795,0.5765,0.6145,0.6145,0.3348,0.4003,0.4108,0.5921,0.1453,0.0432
5,1689.6,0.6759,0.6762,0.3420,0.5775,0.6240,0.6265,0.3435,0.5775,0.6240,0.6275,0.6275,0.3556,0.3960,0.3822,0.5910,0.1440,0.0431
6,1967.0,0.6743,0.6746,0.3960,0.5780,0.6435,0.6355,0.3950,0.5790,0.6435,0.6360,0.6360,0.3552,0.3849,0.3678,0.5893,0.1431,0.0431
