epoch,wall,tr_a0,tr_a1,tr_ac,te_a0,te_a1,te_ac,best_te_ac,om0,al0,om1,al1
0,88.7,0.1788,0.1020,0.1021,0.1760,0.0900,0.0915,0.0915,0.5982,0.9745,0.1520,0.9846
1,493.8,0.4242,0.6359,0.6359,0.3945,0.5995,0.5990,0.5990,0.5905,0.9766,0.1546,0.9845
2,907.0,0.5035,0.6072,0.6077,0.4725,0.5760,0.5760,0.5990,0.5902,0.9777,0.1566,0.9843
