epoch,wall,tr_loss,tr_acc,te_loss,te_acc,best_te_acc,om_mean,al_mean
0,7.8,2.3016,0.1788,2.3018,0.1760,0.1760,0.5982,0.9745
1,52.5,1.6310,0.4242,1.7251,0.3945,0.3945,0.5905,0.9766
2,96.9,1.3409,0.5035,1.4573,0.4725,0.4725,0.5902,0.9777
3,141.3,1.2203,0.5601,1.3728,0.5230,0.5230,0.5893,0.9781
4,185.6,1.1481,0.5925,1.2876,0.5250,0.5250,0.5889,0.9783
5,229.7,1.0734,0.6274,1.2354,0.5665,0.5665,0.5890,0.9785
6,274.3,1.0220,0.6525,1.1917,0.5900,0.5900,0.5889,0.9786
7,319.1,1.0154,0.6417,1.1663,0.6000,0.6000,0.5890,0.9787
8,363.2,1.0232,0.6460,1.1878,0.5755,0.6000,0.5890,0.9787
9,407.8,0.9425,0.6941,1.0944,0.6350,0.6350,0.5892,0.9788
10,452.3,0.9435,0.6750,1.0988,0.6230,0.6350,0.5890,0.9788
11,497.0,0.9328,0.6792,1.1143,0.6100,0.6350,0.5891,0.9788
12,541.6,1.0079,0.6627,1.1751,0.6000,0.6350,0.5887,0.9788
13,585.9,0.9058,0.6958,1.0289,0.6600,0.6600,0.5890,0.9788
14,630.6,0.9289,0.6834,1.1031,0.6110,0.6600,0.5897,0.9788
15,675.2,0.9167,0.6832,1.0794,0.6330,0.6600,0.5905,0.9788
