epoch,wall,tr_loss,tr_acc,te_loss,te_acc,best_te_acc,om_mean,al_mean
0,2.5,2.3004,0.0964,2.3000,0.1390,0.1390,0.6029,0.9746
1,17.5,2.0522,0.2478,2.0848,0.2360,0.2360,0.5988,0.9755
2,32.2,1.6697,0.3786,1.7509,0.3550,0.3550,0.5940,0.9768
3,46.9,1.4759,0.4568,1.5805,0.3940,0.3940,0.5946,0.9774
4,61.8,1.3718,0.5190,1.4727,0.4880,0.4880,0.5938,0.9779
5,76.7,1.2928,0.5486,1.4060,0.5080,0.5080,0.5937,0.9781
6,91.5,1.2777,0.5482,1.3708,0.5210,0.5210,0.5938,0.9782
