epoch,wall,tr_ac_smooth,tr_ac_spike,te_a0_smooth,te_a1_smooth,te_a2_smooth,te_ac_smooth,te_a0_spike,te_a1_spike,te_a2_spike,te_ac_spike,best_te_ac_spike,rate0,rate1,rate2,om0,om1,om2
0,120.6,0.1187,0.1164,0.1155,0.1105,0.1000,0.1095,0.1110,0.1085,0.0985,0.1135,0.1135,0.0201,0.0232,0.0278,0.6029,0.1563,0.0394
1,553.3,0.1396,0.1393,0.1560,0.1410,0.1170,0.1525,0.1495,0.1415,0.1170,0.1530,0.1530,0.2569,0.5710,0.7931,0.5888,0.1569,0.0397
2,986.3,0.1461,0.1463,0.1670,0.1470,0.1365,0.1485,0.1675,0.1465,0.1370,0.1480,0.1530,0.3590,0.5547,0.6098,0.5554,0.1560,0.0406
3,1420.4,0.1482,0.1485,0.1515,0.1525,0.1170,0.1400,0.1515,0.1555,0.1170,0.1410,0.1530,0.2058,0.3277,0.4132,0.5291,0.1554,0.0414
