epoch,wall,tr_ac_smooth,tr_ac_spike,te_a0_smooth,te_a1_smooth,te_a2_smooth,te_ac_smooth,te_a0_spike,te_a1_spike,te_a2_spike,te_ac_spike,best_te_ac_spike,rate0,rate1,rate2,om0,om1,om2
0,83.7,0.1182,0.1250,0.1080,0.0970,0.0985,0.1050,0.1205,0.0960,0.0920,0.1065,0.1065,0.0203,0.0248,0.0340,0.6029,0.1563,0.0394
1,363.9,0.2212,0.2214,0.1120,0.2045,0.1535,0.1995,0.1105,0.2045,0.1540,0.1985,0.1985,0.1437,0.3805,0.6986,0.5952,0.1513,0.0401
2,647.3,0.1976,0.1977,0.1215,0.1745,0.2215,0.1700,0.1210,0.1745,0.2225,0.1690,0.1985,0.1760,0.5165,0.6929,0.5833,0.1373,0.0413
3,930.9,0.2947,0.2948,0.1920,0.2695,0.2960,0.2695,0.1905,0.2690,0.2940,0.2695,0.2695,0.1889,0.5932,0.7451,0.5727,0.1253,0.0426
4,1213.9,0.3174,0.3180,0.1360,0.2535,0.2795,0.2835,0.1350,0.2565,0.2805,0.2840,0.2840,0.1947,0.6045,0.6764,0.5659,0.1156,0.0437
5,1497.3,0.2428,0.2439,0.1170,0.2060,0.2525,0.2000,0.1170,0.2060,0.2520,0.1990,0.2840,0.2149,0.6377,0.6565,0.5635,0.1070,0.0442
