epoch,train_loss,train_acc,test_loss,test_acc,best_test,omega_mean,alpha_mean,theta_mean,usage_max
0,0.9163,0.1050,0.9163,0.0800,0.0800,0.5203,0.9494,1.000,0.031
1,0.9155,0.1350,0.9154,0.1600,0.1600,0.5225,0.9483,0.978,0.082
