epoch,wall,tr_a0,tr_a1,tr_ac,te_a0,te_a1,te_ac,best_te_ac,om0,al0,om1,al1
0,65.7,0.0928,0.1428,0.1442,0.1325,0.1445,0.1500,0.1500,0.6029,0.9746,0.1463,0.9848
1,381.2,0.4213,0.5317,0.5317,0.3900,0.5090,0.5090,0.5090,0.5927,0.9770,0.1484,0.9845
2,720.0,0.5383,0.6338,0.6336,0.5010,0.5785,0.5785,0.5785,0.5916,0.9780,0.1507,0.9844
