epoch,wall,train_acc,test_acc,best_test
0,2.3,0.0900,0.0760,0.0760
1,102.9,0.5240,0.4140,0.4140
2,198.9,0.6140,0.5440,0.5440
3,307.7,0.6740,0.6020,0.6020
4,391.5,0.7320,0.6160,0.6160
