epoch,train_loss,train_acc,test_loss,test_acc,best_test,omega_mean,alpha_mean,theta_mean,usage_max
0,2.3026,0.0960,2.3026,0.0850,0.0850,0.5959,0.9747,1.000,0.004
1,2.0186,0.2532,2.0264,0.2440,0.2440,0.5951,0.9755,0.966,0.174
2,1.7566,0.2612,1.7785,0.2490,0.2490,0.5944,0.9755,0.932,0.400
3,1.7619,0.2374,1.7836,0.2290,0.2490,0.5943,0.9755,0.898,0.425
4,1.6984,0.2680,1.7322,0.2520,0.2520,0.5942,0.9755,0.858,0.407
5,1.7376,0.2710,1.8322,0.2420,0.2520,0.5942,0.9755,0.812,0.378
6,1.6874,0.2698,1.7803,0.2400,0.2520,0.5941,0.9755,0.766,0.439
