epoch,train_loss,train_acc,test_loss,test_acc,best_test,omega_mean,alpha_mean,theta_mean,usage_max
0,0.2231,0.1001,0.2231,0.0875,0.0875,0.4962,0.9744,1.000,0.008
1,0.2228,0.1133,0.2229,0.1180,0.1180,0.5020,0.9723,0.571,0.045
2,0.2227,0.1127,0.2228,0.1170,0.1180,0.5033,0.9719,0.141,0.080
