epoch,wall,te_a0_smooth,te_a1_smooth,te_a2_smooth,te_a3_smooth,te_a4_smooth,te_ac_smooth,te_a0_spike,te_a1_spike,te_a2_spike,te_a3_spike,te_a4_spike,te_ac_spike,best_te_ac_spike,rate0,rate1,rate2,rate3,rate4,om0,om1,om2,om3,om4
0,35.9,0.0805,0.0895,0.0915,0.0870,0.1035,0.0825,0.1050,0.0895,0.0885,0.0895,0.1015,0.0780,0.0780,0.0235,0.0476,0.3377,0.9546,0.9993,0.5995,0.1580,0.0503,0.0217,0.0080
1,993.7,0.3865,0.5465,0.6430,0.6940,0.4030,0.6440,0.3910,0.5490,0.6420,0.6955,0.4025,0.6455,0.6455,0.1119,0.0958,0.1851,0.5967,0.9158,0.6018,0.1581,0.0504,0.0218,0.0080
