epoch,wall,tr_ac_smooth,tr_ac_spike,te_a0_smooth,te_a1_smooth,te_a2_smooth,te_ac_smooth,te_a0_spike,te_a1_spike,te_a2_spike,te_ac_spike,best_te_ac_spike,rate0,rate1,rate2,om0,om1,om2
0,121.7,0.1235,0.1210,0.1105,0.1165,0.0985,0.1155,0.1085,0.1120,0.1030,0.1230,0.1230,0.0203,0.0244,0.0317,0.6029,0.1563,0.0394
1,589.8,0.2619,0.2614,0.1860,0.2665,0.0800,0.2515,0.1860,0.2675,0.0830,0.2520,0.2520,0.2821,0.5380,0.6413,0.5896,0.1591,0.0413
2,1063.1,0.2510,0.2513,0.2255,0.1835,0.2335,0.2455,0.2245,0.1845,0.2350,0.2445,0.2520,0.3419,0.4335,0.4671,0.5613,0.1623,0.0447
3,1534.9,0.2507,0.2514,0.1965,0.1920,0.2155,0.2320,0.1960,0.2080,0.2200,0.2320,0.2520,0.3962,0.4732,0.4842,0.5406,0.1633,0.0467
