epoch,wall,te_a0_smooth,te_a1_smooth,te_a2_smooth,te_a3_smooth,te_a4_smooth,te_ac_smooth,te_a0_spike,te_a1_spike,te_a2_spike,te_a3_spike,te_a4_spike,te_ac_spike,best_te_ac_spike,rate0,rate1,rate2,rate3,rate4,om0,om1,om2,om3,om4
0,4.7,0.1211,0.0742,0.0742,0.0508,0.1289,0.0625,0.0977,0.0742,0.0781,0.0508,0.1094,0.0625,0.0625,0.0241,0.0496,0.2864,0.8313,0.9946,0.6186,0.1520,0.0498,0.0197,0.0081
1,32.5,0.2383,0.2734,0.2070,0.1602,0.0898,0.2930,0.2383,0.2812,0.2031,0.1719,0.0898,0.2891,0.2891,0.0280,0.0787,0.4675,0.9623,0.9999,0.6174,0.1519,0.0498,0.0197,0.0081
