loading SMNIST ...
train: 60000, test: 10000
building net ...
net params: {'total': 226026, 'layer_0': 8704, 'layer_1': 82432, 'layer_2': 134880, 'pool_bias': 10}
computing train features ...
  done in 404.7s, shape: torch.Size([60000, 240])
  feature stats: mean=0.3869, std=0.3690, zero_rate=0.0274
computing test features ...
  done in 70.9s, shape: torch.Size([10000, 240])

=== Linear head ===
  ep  88  t=  0.1s  train_acc=0.5557  test_acc=0.5473
  ep  89  t=  0.1s  train_acc=0.5549  test_acc=0.5447
  ep  90  t=  0.1s  train_acc=0.5518  test_acc=0.5456
  ep  91  t=  0.1s  train_acc=0.5486  test_acc=0.5377
  ep  92  t=  0.1s  train_acc=0.5424  test_acc=0.5330
  ep  93  t=  0.1s  train_acc=0.5617  test_acc=0.5546
  ep  94  t=  0.1s  train_acc=0.5578  test_acc=0.5513
  ep  95  t=  0.1s  train_acc=0.5627  test_acc=0.5506
  ep  96  t=  0.1s  train_acc=0.5375  test_acc=0.5315
  ep  97  t=  0.1s  train_acc=0.5570  test_acc=0.5481
  ep  98  t=  0.1s  train_acc=0.5591  test_acc=0.5496
  ep  99  t=  0.1s  train_acc=0.5672  test_acc=0.5588
  ep 100  t=  0.1s  train_acc=0.5325  test_acc=0.5275
  ep 101  t=  0.1s  train_acc=0.5491  test_acc=0.5376
  ep 102  t=  0.1s  train_acc=0.5676  test_acc=0.5594
  ep 103  t=  0.1s  train_acc=0.5663  test_acc=0.5587
  ep 104  t=  0.1s  train_acc=0.5598  test_acc=0.5496
  ep 105  t=  0.1s  train_acc=0.5587  test_acc=0.5483
  ep 106  t=  0.1s  train_acc=0.5556  test_acc=0.5491
  ep 107  t=  0.1s  train_acc=0.5504  test_acc=0.5460
  ep 108  t=  0.1s  train_acc=0.5607  test_acc=0.5463
  ep 109  t=  0.1s  train_acc=0.5643  test_acc=0.5557
  ep 110  t=  0.1s  train_acc=0.5569  test_acc=0.5496
  ep 111  t=  0.1s  train_acc=0.5561  test_acc=0.5496
  ep 112  t=  0.1s  train_acc=0.5532  test_acc=0.5451
  ep 113  t=  0.1s  train_acc=0.5553  test_acc=0.5481
  ep 114  t=  0.1s  train_acc=0.5659  test_acc=0.5574
  ep 115  t=  0.1s  train_acc=0.5536  test_acc=0.5431
  ep 116  t=  0.1s  train_acc=0.5566  test_acc=0.5473
  ep 117  t=  0.1s  train_acc=0.5673  test_acc=0.5600
  ep 118  t=  0.1s  train_acc=0.5225  test_acc=0.5195
  ep 119  t=  0.1s  train_acc=0.5648  test_acc=0.5570
  ep 120  t=  0.1s  train_acc=0.5606  test_acc=0.5515
  ep 121  t=  0.1s  train_acc=0.5666  test_acc=0.5605
  ep 122  t=  0.1s  train_acc=0.5442  test_acc=0.5371
  ep 123  t=  0.1s  train_acc=0.5472  test_acc=0.5417
  ep 124  t=  0.1s  train_acc=0.5576  test_acc=0.5507
