epoch,step,wall,train_loss_ema,train_acc_ema,test_loss,test_acc,rates
0,313,3689.5,1.0824,0.6004,1.2166,0.5255,"0.1393, 0.3009, 0.5781"
1,476,5419.0,1.0427,0.6159,1.1864,0.5455,"0.1406, 0.3021, 0.5688"
