epoch,step,wall,train_loss,train_acc,test_loss,test_acc,rates
0,13,56.2,2.3022,0.0818,2.2895,0.1900,"0.0059, 0.0166"
1,26,111.7,2.2934,0.1225,2.2934,0.0900,"0.0053, 0.0120"
