epoch,step,wall,train_loss_ema,train_acc_ema,test_loss,test_acc,rates
0,32,23.3,3.4313,0.1025,2.6966,0.0660,0.158/0.108/0.357
1,64,46.6,2.5973,0.1158,2.7145,0.1100,0.194/0.217/0.578
