epoch,step,wall,train_loss_ema,train_acc_ema,test_loss,test_acc,rates
0,32,23.5,3.7549,0.1083,2.4774,0.1120,0.157/0.106/0.335
1,64,47.3,2.6681,0.1195,2.5272,0.1120,0.191/0.188/0.522
