epoch,wall,te_a0_smooth,te_a1_smooth,te_a2_smooth,te_ac_smooth,te_a0_spike,te_a1_spike,te_a2_spike,te_ac_spike,best_te_ac_spike,rate0,rate1,rate2,om0,om1,om2,recnorm0,recnorm1,recnorm2
0,0.2,0.0312,0.0312,0.0000,0.0078,0.0391,0.0469,0.0000,0.0156,0.0156,0.0385,0.0715,0.2287,0.9063,0.2124,0.0813,0.0000,0.0000,0.0000
1,1.0,0.0469,0.0469,0.0469,0.0391,0.0469,0.0312,0.0391,0.0312,0.0312,0.0396,0.0826,0.3031,0.9064,0.2124,0.0812,0.0000,0.0000,0.0000
