epoch,wall,te_a0_smooth,te_a1_smooth,te_a2_smooth,te_ac_smooth,te_a0_spike,te_a1_spike,te_a2_spike,te_ac_spike,best_te_ac_spike,rate0,rate1,rate2,om0,om1,om2
0,0.2,0.0312,0.0234,0.0391,0.0312,0.0859,0.0234,0.0312,0.0156,0.0156,0.0374,0.0708,0.2781,0.8533,0.2070,0.0722
1,1.3,0.0391,0.0938,0.0781,0.0781,0.0547,0.0781,0.1016,0.0859,0.0859,0.0373,0.0812,0.3404,0.8531,0.2070,0.0722
