epoch,wall,te_a0_smooth,te_a1_smooth,te_a2_smooth,te_ac_smooth,te_a0_spike,te_a1_spike,te_a2_spike,te_ac_spike,best_te_ac_spike,rate0,rate1,rate2,om0,om1,om2,recnorm0,recnorm1,recnorm2
0,3.1,0.0520,0.0480,0.0830,0.0340,0.0400,0.0410,0.0820,0.0320,0.0320,0.0585,0.1988,0.7453,0.8018,0.1992,0.0752,0.0000,0.0000,0.0590
1,83.5,0.3850,0.3810,0.2900,0.4300,0.3840,0.3900,0.2920,0.4270,0.4270,0.0857,0.1400,0.3966,0.8014,0.1992,0.0754,0.0000,0.0000,0.0708
2,169.5,0.4500,0.6030,0.4840,0.5550,0.4520,0.6020,0.4860,0.5500,0.5500,0.1103,0.0724,0.0986,0.8008,0.1993,0.0754,0.0000,0.0000,0.0757
