epoch,wall,te_a0_smooth,te_a1_smooth,te_a2_smooth,te_ac_smooth,te_a0_spike,te_a1_spike,te_a2_spike,te_ac_spike,best_te_ac_spike,rate0,rate1,rate2,om0,om1,om2,recnorm0,recnorm1,recnorm2
0,3.4,0.0710,0.0590,0.0500,0.0700,0.0650,0.0570,0.0500,0.0650,0.0650,0.0747,0.2199,0.6750,0.8190,0.2089,0.0787,0.0000,0.0000,0.0000
1,123.1,0.4370,0.4600,0.4130,0.5300,0.4080,0.4630,0.4120,0.5350,0.5350,0.0924,0.1602,0.3458,0.8188,0.2089,0.0788,0.0000,0.0000,0.0000
2,267.7,0.4980,0.6910,0.6100,0.6700,0.4850,0.6940,0.6130,0.6620,0.6620,0.1077,0.0825,0.1121,0.8183,0.2088,0.0788,0.0000,0.0000,0.0000
3,412.0,0.5120,0.7080,0.6540,0.6880,0.5000,0.7020,0.6540,0.6880,0.6880,0.1119,0.0843,0.1008,0.8177,0.2087,0.0788,0.0000,0.0000,0.0000
