epoch,wall,te_a0_smooth,te_a1_smooth,te_a2_smooth,te_ac_smooth,te_a0_spike,te_a1_spike,te_a2_spike,te_ac_spike,best_te_ac_spike,rate0,rate1,rate2,om0,om1,om2,recnorm0,recnorm1,recnorm2
0,4.6,0.0380,0.0370,0.0410,0.0350,0.0420,0.0440,0.0420,0.0380,0.0380,0.0578,0.1929,0.6640,0.8018,0.1992,0.0752,0.0000,0.0000,0.0000
1,106.9,0.4660,0.6340,0.5380,0.6280,0.4570,0.6320,0.5390,0.6250,0.6250,0.0766,0.0853,0.1532,0.8018,0.1994,0.0753,0.0000,0.0000,0.0000
2,187.6,0.4840,0.6660,0.6560,0.6640,0.4900,0.6630,0.6550,0.6650,0.6650,0.1091,0.0759,0.0775,0.8012,0.1995,0.0754,0.0000,0.0000,0.0000
3,267.4,0.5140,0.6510,0.6800,0.6770,0.5120,0.6520,0.6790,0.6750,0.6750,0.1120,0.1008,0.0776,0.8003,0.1993,0.0756,0.0000,0.0000,0.0000
